City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
128,Alta Floresta,BR,71.37,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
129,Axim,GH,78.82,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
134,Airai,TL,75.79,overcast clouds,-8.9266,125.4092,Juvinal Martin
138,Ahuimanu,US,75.2,light rain,21.4447,-157.8378,Paradise Bay Resort
139,Namibe,AO,72.36,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
141,Buala,SB,80.22,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
148,Vanimo,PG,82.2,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
149,Maragogi,BR,76.17,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
154,Berekum,GH,72.72,overcast clouds,7.4534,-2.5839999999999996,Nyame Nnae Hotel
158,Port Augusta,AU,82.0,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
159,Arraial Do Cabo,BR,76.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
163,Mount Gambier,AU,71.6,overcast clouds,-37.8333,140.7667,Commodore on the Park
165,Sur,OM,82.6,clear sky,22.5667,59.5289,Sur Plaza Hotel
167,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
169,Iquitos,PE,75.2,moderate rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
172,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
180,Kasongo-Lunda,CD,70.39,light rain,-6.4667,16.8167,NaN
181,Kidal,ML,74.34,clear sky,18.4411,1.4078,NaN
185,Nova Olimpia,BR,71.8,overcast clouds,-14.7972,-57.2881,Motel glamour
189,Pangai,TO,82.4,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
190,Auki,SB,82.74,heavy intensity rain,-8.7676,160.7034,Auki Motel
195,Sao Filipe,CV,70.7,overcast clouds,14.8961,-24.4956,Tortuga B&B
203,San Andres,CO,77.0,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
208,Delta,NG,73.26,overcast clouds,5.5,6.0,Prestige Hotel
210,Malumfashi,NG,78.51,broken clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
214,Cabo San Lucas,MX,75.2,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
219,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
