City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,San Patricio,US,28.017,-97.5169,57.99,62,1,12.66,clear sky
189,Pangai,TO,-19.8,-174.35,82.4,75,74,8.59,broken clouds
190,Auki,SB,-8.7676,160.7034,82.74,74,99,2.3,heavy intensity rain
191,Baltiysk,RU,54.6538,19.911,33.8,75,75,20.13,light rain and snow
192,Rongcheng,CN,30.634,117.8517,56.84,64,89,10.27,light rain
193,Riyadh,SA,24.6877,46.7219,62.6,29,0,2.3,clear sky
194,Baixo Guandu,BR,-19.5189,-41.0158,69.46,96,0,2.19,clear sky
195,Sao Filipe,CV,14.8961,-24.4956,70.7,71,96,5.19,overcast clouds
196,Holly Hill,US,29.2436,-81.0376,57.2,88,90,14.97,mist
197,Bengkulu,ID,-3.8004,102.2655,86.05,61,77,1.66,broken clouds
198,Sand Springs,US,36.1398,-96.1089,57.2,41,0,10.36,clear sky
199,Hasaki,JP,35.7333,140.8333,64.4,94,75,18.41,mist
200,Visby,SE,57.6409,18.296,37.99,93,90,14.97,drizzle
201,Deputatskiy,RU,69.3,139.9,-10.73,95,66,3.71,broken clouds
202,Ancud,CL,-41.8697,-73.8203,48.99,93,0,5.75,clear sky
203,San Andres,CO,12.5847,-81.7006,77.0,83,75,10.36,broken clouds
204,Castro,BR,-24.7911,-50.0119,64.18,96,10,3.31,clear sky
205,Westport,US,41.1415,-73.3579,43.0,65,1,8.05,clear sky
206,Tuatapere,NZ,-46.1333,167.6833,57.99,86,89,11.01,overcast clouds
207,Farmington,US,36.7281,-108.2187,57.99,26,1,16.11,clear sky
208,Delta,NG,5.5,6.0,73.26,86,100,2.48,overcast clouds
209,Lewistown,US,40.5992,-77.5714,37.4,56,1,0.98,clear sky
210,Malumfashi,NG,11.7853,7.6218,78.51,31,63,4.09,broken clouds
211,Lukoyanov,RU,55.0277,44.4786,11.14,94,3,7.74,clear sky
212,Yumen,CN,40.2833,97.2,34.66,22,0,10.2,clear sky
213,Opuwo,NA,-18.0607,13.84,67.51,89,99,1.16,moderate rain
214,Cabo San Lucas,MX,22.8909,-109.9124,75.2,23,1,8.52,clear sky
215,Enderby,GB,52.5878,-1.2062,44.01,97,40,6.26,scattered clouds
216,Yuxia,CN,34.0615,108.6291,52.0,37,0,6.71,clear sky
217,Dordrecht,NL,51.81,4.6736,45.0,92,100,5.01,overcast clouds
218,Dubovskoye,RU,47.4092,42.7575,32.7,95,81,9.66,broken clouds
219,Souillac,MU,-20.5167,57.5167,78.8,89,40,10.36,light rain
220,Kautokeino,NO,69.0125,23.0412,20.28,83,97,14.05,overcast clouds
221,Zhezkazgan,KZ,47.8043,67.7144,28.56,92,92,8.93,overcast clouds
222,Kavieng,PG,-2.5744,150.7967,84.24,74,100,8.68,light rain
223,Nantucket,US,41.2835,-70.0995,36.0,75,0,13.15,clear sky
224,Lagoa,PT,39.05,-27.9833,57.7,76,100,13.6,overcast clouds
225,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,6.91,light rain
226,Domodossola,IT,46.1165,8.2931,37.99,58,3,2.71,clear sky
227,Pundaguitan,PH,6.3711,126.1689,83.23,73,84,9.06,heavy intensity rain
228,Cherskiy,RU,68.75,161.3,-6.11,80,0,4.29,clear sky
229,Bethel,US,41.3712,-73.414,37.99,60,1,3.44,clear sky
230,Rovaniemi,FI,66.5,25.7167,28.4,93,90,12.66,light snow
231,Matara,LK,5.9485,80.5353,81.3,78,30,2.75,scattered clouds
232,Vestmannaeyjar,IS,63.4427,-20.2734,43.77,76,100,17.87,overcast clouds
233,Chulman,RU,56.8479,124.9104,17.91,87,38,7.63,scattered clouds
234,Sesimbra,PT,38.4445,-9.1015,51.01,66,0,9.22,clear sky
235,Perth,AU,-31.9333,115.8333,96.01,17,0,12.66,clear sky
236,Bathsheba,BB,13.2167,-59.5167,77.0,61,40,17.27,scattered clouds
237,Carnarvon,AU,-24.8667,113.6333,93.2,22,0,6.91,clear sky
238,Maniitsoq,GL,65.4167,-52.9,23.74,78,98,7.65,overcast clouds
239,Margate,GB,51.3813,1.3862,46.0,79,72,7.0,broken clouds
240,Cap Malheureux,MU,-19.9842,57.6142,81.0,82,4,5.99,clear sky
241,Washington,US,47.5001,-120.5015,48.2,43,1,10.36,clear sky
242,Shimoda,JP,34.6667,138.95,68.0,100,75,28.77,light rain
243,Port-Gentil,GA,-0.7193,8.7815,78.35,85,100,12.41,overcast clouds
244,New Norfolk,AU,-42.7826,147.0587,73.99,47,33,4.0,scattered clouds
245,Yelizovo,RU,53.1873,158.3805,32.0,32,0,11.18,clear sky
246,Yerbogachen,RU,61.2767,108.0108,-19.34,83,0,5.53,clear sky
247,Wloclawek,PL,52.6482,19.0678,30.99,81,100,5.01,light snow
248,Port Hardy,CA,50.6996,-127.4199,41.0,70,90,6.49,overcast clouds
249,Ponta Do Sol,PT,32.6667,-17.1,55.99,55,67,8.01,broken clouds
250,Kendari,ID,-3.945,122.4989,90.48,56,28,3.38,scattered clouds
251,Kemijarvi,FI,66.7131,27.4306,27.32,95,100,12.55,light snow
252,Mehnagar,IN,25.8833,83.1167,75.2,57,40,4.61,haze
253,Omsukchan,RU,62.5333,155.8,5.77,64,0,3.6,clear sky
254,Carutapera,BR,-1.195,-46.02,74.97,90,64,3.96,broken clouds
255,Bronnoysund,NO,65.4625,12.1997,33.8,64,40,18.41,light snow
256,Dukat,RU,62.55,155.55,6.75,62,0,3.36,clear sky
257,Muros,ES,42.7762,-9.0603,46.99,54,0,14.67,clear sky
258,Asifabad,IN,19.3667,79.2833,87.96,27,60,4.0,broken clouds
259,Naryan-Mar,RU,67.6713,53.087,1.54,95,95,9.71,overcast clouds
260,Pavlodar,KZ,52.3,76.95,35.6,80,75,17.9,broken clouds
261,Leua,SK,48.2156,18.6071,25.0,50,0,4.47,clear sky
262,Antsohihy,MG,-14.8796,47.9875,70.5,93,2,3.4,clear sky
263,Buraydah,SA,26.326,43.975,60.8,55,0,7.87,clear sky
264,Lavrentiya,RU,65.5833,-171.0,2.46,81,100,12.77,overcast clouds
265,Ligayan,PH,4.6533,119.4706,83.16,75,85,6.04,overcast clouds
266,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.99,95,49,2.19,scattered clouds
267,Alofi,NU,-19.0595,-169.9187,77.0,83,100,8.05,moderate rain
268,Ossora,RU,59.2353,163.0719,10.44,81,70,1.95,broken clouds
269,Taksimo,RU,56.3444,114.8794,22.5,77,70,2.75,broken clouds
270,Sorong,ID,-0.8833,131.25,82.47,78,100,5.03,overcast clouds
271,Amapa,BR,1.0,-52.0,71.64,98,100,2.59,light rain
272,Guanhaes,BR,-18.775,-42.9325,62.91,98,14,4.41,few clouds
273,Kamenka,RU,51.3223,42.7678,18.93,95,92,4.74,overcast clouds
274,Naze,JP,28.3667,129.4833,66.2,82,75,4.61,broken clouds
275,Dikson,RU,73.5069,80.5464,-20.38,77,18,15.57,few clouds
276,Leningradskiy,RU,69.3833,178.4167,-8.05,90,100,4.16,overcast clouds
277,Wilmington Island,US,32.0036,-80.9737,50.0,87,90,13.8,light rain
278,Grants Pass,US,42.439,-123.3284,46.4,66,40,2.35,scattered clouds
279,Port Pirie,AU,-33.1833,138.0167,80.6,50,88,6.91,overcast clouds
280,Lufkin,US,31.3382,-94.7291,48.2,71,1,4.61,clear sky
281,Palmeira,BR,-25.4294,-50.0064,64.45,97,6,2.59,clear sky
282,Umm Bab,QA,25.2142,50.8072,64.99,63,1,12.66,clear sky
283,Raudeberg,NO,61.9875,5.1352,35.01,87,100,18.01,light snow
284,Verkhnyaya Inta,RU,65.9811,60.3094,8.82,96,97,3.83,overcast clouds
285,Chissamba,AO,-12.1667,17.3333,62.56,95,100,4.38,overcast clouds
286,Haimen,CN,23.1935,116.6142,66.2,88,90,8.95,overcast clouds
287,Songjianghe,CN,42.1859,127.479,31.53,76,51,11.92,light snow
288,Port Lincoln,AU,-34.7333,135.8667,76.35,57,0,12.12,clear sky
289,Khudumelapye,BW,-23.8833,24.75,65.12,75,6,6.76,clear sky
290,Wilmington,US,34.2257,-77.9447,46.99,87,40,14.97,scattered clouds
291,Kerrville,US,30.0474,-99.1403,57.2,44,1,4.61,clear sky
292,Tokonou,GN,9.65,-9.7833,74.77,69,40,6.38,scattered clouds
293,Dingle,PH,10.9995,122.6711,87.19,67,99,11.01,overcast clouds
294,Verona,IT,45.4167,11.0333,36.0,59,0,4.61,clear sky
295,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.47,94,91,1.28,overcast clouds
296,Kahului,US,20.8947,-156.47,73.4,88,40,16.11,scattered clouds
297,Atchison,US,39.563,-95.1216,48.99,49,1,9.22,clear sky
298,Astoria,US,46.1879,-123.8313,44.6,57,90,6.91,overcast clouds
299,Khandbari,NP,27.3747,87.2039,76.73,22,0,1.32,clear sky
300,Pirajui,BR,-21.9986,-49.4572,73.99,86,2,5.01,clear sky
301,Bayanday,RU,53.0661,105.5139,30.34,70,44,4.07,scattered clouds
302,Ikom,NG,5.9667,8.7063,73.18,91,93,1.54,overcast clouds
303,Karratha,AU,-20.7377,116.8463,85.14,41,0,17.56,clear sky
304,Flin Flon,CA,54.7682,-101.865,34.9,87,68,3.67,broken clouds
305,Zaysan,KZ,47.4667,84.8667,28.56,69,33,4.25,scattered clouds
306,Kysyl-Syr,RU,63.8986,122.7617,-11.97,91,100,11.5,overcast clouds
307,Tabou,CI,4.423,-7.3528,76.82,90,100,5.61,overcast clouds
308,Hualmay,PE,-11.0964,-77.6139,71.37,76,98,7.81,overcast clouds
309,Batticaloa,LK,7.7102,81.6924,82.08,76,70,4.65,broken clouds
310,Kolosovka,RU,56.4678,73.611,27.64,90,97,19.42,overcast clouds
311,Chokurdakh,RU,70.6333,147.9167,-8.41,92,4,4.74,clear sky
312,Tungor,RU,53.3808,142.9564,27.86,75,100,15.66,overcast clouds
313,Willmar,US,45.1219,-95.0433,48.2,57,1,16.11,clear sky
314,Fairbanks,US,64.8378,-147.7164,18.0,41,1,11.5,clear sky
315,Simbahan,PH,6.3032,120.5836,84.02,73,100,7.09,overcast clouds
316,Lyngdal,NO,58.1376,7.07,41.0,64,100,15.01,overcast clouds
317,Sioux Lookout,CA,50.1001,-91.917,48.2,53,20,8.05,few clouds
318,Penzance,GB,50.1186,-5.5371,48.2,93,90,8.05,overcast clouds
319,Newport,GB,51.5877,-2.9984,48.0,78,42,5.53,scattered clouds
320,Touros,BR,-5.1989,-35.4608,75.2,88,20,3.44,few clouds
321,Farafangana,MG,-22.8167,47.8333,74.89,87,53,4.85,broken clouds
322,Holme,DK,56.1138,10.1725,41.0,93,39,13.8,scattered clouds
323,Grand Gaube,MU,-20.0064,57.6608,81.0,82,3,5.99,light rain
